stockCode,fiscalYear,revenue,profitBeforeTax,profitAfterTax,ebita,totalDebt,totalEquity,sharesOutstanding,earningsPerShare,bookValuePerShare,source
AAPL,2024,390000000000,120000000000,97000000000,125000000000,95000000000,65000000000,15500000000,6.13,4.19,fixture
AAPL,2025,410000000000,126000000000,102000000000,132000000000,90000000000,72000000000,15400000000,6.62,4.68,fixture
MSFT,2024,245000000000,105000000000,88000000000,112000000000,65000000000,120000000000,7430000000,11.84,16.15,fixture
MSFT,2025,270000000000,116000000000,99000000000,123000000000,62000000000,135000000000,7420000000,13.34,18.19,fixture
LOSS,2024,1000000000,50000000,20000000,80000000,300000000,500000000,100000000,0.2,5,fixture
LOSS,2025,900000000,-20000000,-50000000,10000000,320000000,450000000,100000000,-0.5,4.5,fixture
D05,2024,22000000000,12000000000,10500000000,13000000000,85000000000,65000000000,2850000000,3.68,22.8,fixture
D05,2025,24000000000,12800000000,11200000000,13800000000,88000000000,70000000000,2860000000,3.92,24.48,fixture
Z74,2024,14500000000,2800000000,2300000000,4200000000,9500000000,26000000000,16400000000,0.14,1.59,fixture
Z74,2025,15000000000,3100000000,2500000000,4500000000,9200000000,27000000000,16400000000,0.15,1.65,fixture
