marketCode,exchange,stockCode,stockName,currency,providerSymbol
SGX,SGX,D05,DBS Group Holdings,SGD,D05.SI
SGX,SGX,U11,United Overseas Bank,SGD,U11.SI
SGX,SGX,Z74,Singapore Telecommunications,SGD,Z74.SI
SGX,SGX,O39,Oversea-Chinese Banking Corporation,SGD,O39.SI
SGX,SGX,C38U,CapitaLand Integrated Commercial Trust,SGD,C38U.SI
SGX,SGX,BN4,Keppel Ltd,SGD,BN4.SI
SGX,SGX,C6L,Singapore Airlines Limited,SGD,C6L.SI
SGX,SGX,S68,Singapore Exchange Limited,SGD,S68.SI
SGX,SGX,Y92,Thai Beverage Public Company Limited,SGD,Y92.SI
SGX,SGX,A17U,CapitaLand Ascendas REIT,SGD,A17U.SI
SGX,SGX,M44U,Mapletree Logistics Trust,SGD,M44U.SI
SGX,SGX,N2IU,Mapletree Pan Asia Commercial Trust,SGD,N2IU.SI
SGX,SGX,ME8U,Mapletree Industrial Trust,SGD,ME8U.SI
SGX,SGX,F34,Wilmar International Limited,SGD,F34.SI
SGX,SGX,C09,City Developments Limited,SGD,C09.SI
SGX,SGX,U96,Sembcorp Industries Ltd,SGD,U96.SI
SGX,SGX,G13,Genting Singapore Limited,SGD,G13.SI
SGX,SGX,H78,Hongkong Land Holdings Limited,USD,H78.SI
SGX,SGX,J36,Jardine Matheson Holdings Limited,USD,J36.SI
SGX,SGX,BS6,Yangzijiang Shipbuilding Holdings Ltd,SGD,BS6.SI
